n, t, workers, frac, accesses, time
20, 4000, 2, 0, 5, 3.309915234334767
20, 4000, 4, 0, 5, 1.7011906392872334
20, 4000, 8, 0, 5, 0.9095415426418185
20, 4000, 15, 0, 5, 0.6039038421586156
20, 4000, 1, 0, 10, 6.594575242139399
20, 4000, 2, 0, 10, 3.3538254546001554
20, 4000, 4, 0, 10, 1.7589976340532303
20, 4000, 8, 0, 10, 0.9546306813135743
20, 4000, 15, 0, 10, 0.650550470687449
20, 8000, 1, 0, 1, 12.695139075629413
20, 8000, 2, 0, 1, 6.383279545232654
20, 8000, 4, 0, 1, 3.2526224376633763
20, 8000, 8, 0, 1, 1.7169756945222616
20, 8000, 15, 0, 1, 1.0426334356889129
20, 8000, 1, 0, 5, 12.66652636229992
20, 8000, 2, 0, 5, 6.424185525625944
20, 8000, 4, 0, 5, 3.2713503502309322
20, 8000, 8, 0, 5, 1.728631505742669
20, 8000, 15, 0, 5, 1.0480230199173093
20, 8000, 1, 0, 10, 12.761740535497665
20, 8000, 2, 0, 10, 6.471984468400478
20, 8000, 4, 0, 10, 3.301101799122989
20, 8000, 8, 0, 10, 1.7719115018844604
20, 8000, 15, 0, 10, 1.0994032556191087
20, 16000, 1, 0, 1, 24.986385059542954
20, 16000, 2, 0, 1, 12.59192527551204
20, 16000, 4, 0, 1, 6.390563730150461
20, 16000, 8, 0, 1, 3.323307555168867
20, 16000, 15, 0, 1, 2.002902843989432
20, 16000, 1, 0, 5, 24.92217116523534
20, 16000, 2, 0, 5, 12.632243659347296
20, 16000, 4, 0, 5, 6.394517065025866
20, 16000, 8, 0, 5, 3.332695499062538
20, 16000, 15, 0, 5, 2.0328227700665593
20, 16000, 1, 0, 10, 25.021173465065658
20, 16000, 2, 0, 10, 12.692987813614309
20, 16000, 4, 0, 10, 6.432335910387337
20, 16000, 8, 0, 10, 3.3640441754832864
20, 16000, 15, 0, 10, 2.019165481440723
20, 32000, 1, 0, 1, 49.63777214754373
20, 32000, 2, 0, 1, 25.05135569255799
20, 32000, 4, 0, 1, 12.742794940248132
20, 32000, 8, 0, 1, 6.591701827943325
20, 32000, 15, 0, 1, 3.9333973368629813
20, 32000, 1, 0, 5, 49.662705313414335
20, 32000, 2, 0, 5, 25.094605112448335
20, 32000, 4, 0, 5, 12.700969663448632
20, 32000, 8, 0, 5, 6.6250727120786905
20, 32000, 15, 0, 5, 3.932053773663938
20, 32000, 1, 0, 10, 49.636755930259824
20, 32000, 2, 0, 10, 25.11257838830352
20, 32000, 4, 0, 10, 12.828926615417004
20, 32000, 8, 0, 10, 6.74433655012399
20, 32000, 15, 0, 10, 3.951534395106137
40, 500, 1, 0, 1, 8.361924243159592
40, 500, 2, 0, 1, 4.352645087055862
40, 500, 4, 0, 1, 2.50511578284204
40, 500, 8, 0, 1, 2.340470482595265
40, 500, 15, 0, 1, 2.6273567928001285
40, 500, 1, 0, 5, 9.163708015345037
40, 500, 2, 0, 5, 4.772329333238304
40, 500, 4, 0, 5, 3.2048735562711954
40, 500, 8, 0, 5, 3.026980930007994
40, 500, 15, 0, 5, 4.297334077768028
40, 500, 1, 0, 10, 8.672077030874789
40, 500, 2, 0, 10, 5.261590777896345
40, 500, 4, 0, 10, 3.990624528378248
40, 500, 8, 0, 10, 3.946448844857514
