n, t, workers, frac, accesses, kernel_total, kernel_average, kernel_median, task_cleanup_total, task_cleanup_average, task_cleanup_median, task_spawn_total
20, 2000, 15, 0, 1, 213377001, 138556.49415584415, 79888.0, 0, nan, nan, 0
20, 2000, 1, 0, 5, 21076577, 2737.217792207792, 2257.0, 0, nan, nan, 0
20, 2000, 2, 0, 5, 62851274, 8162.5031168831165, 5174.0, 0, nan, nan, 0
20, 2000, 4, 0, 5, 87705171, 11390.281948051948, 5440.0, 0, nan, nan, 0
20, 2000, 8, 0, 5, 503001110, 65324.81948051948, 22718.5, 0, nan, nan, 0
20, 2000, 15, 0, 5, 4579022244, 594678.2135064935, 498971.0, 0, nan, nan, 0
20, 2000, 1, 0, 10, 36850554, 2392.893116883117, 2159.0, 0, nan, nan, 0
20, 2000, 2, 0, 10, 98147855, 6373.237337662337, 4907.0, 0, nan, nan, 0
20, 2000, 4, 0, 10, 242055788, 15717.908311688312, 5471.0, 0, nan, nan, 0
20, 2000, 8, 0, 10, 1312175293.0, 85217.25503312118, 30242.5, 0, nan, nan, 0
20, 2000, 15, 0, 10, 9534227417.0, 619186.0902065203, 531083.5, 0, nan, nan, 0
20, 4000, 1, 0, 1, 9635195, 6256.62012987013, 3452.5, 0, nan, nan, 0
20, 4000, 2, 0, 1, 38584846, 25055.094805194803, 9556.0, 0, nan, nan, 0
20, 4000, 4, 0, 1, 38491584, 24994.535064935066, 9076.5, 0, nan, nan, 0
20, 4000, 8, 0, 1, 49763158, 32313.738961038962, 9878.0, 0, nan, nan, 0
20, 4000, 15, 0, 1, 93338659, 60609.51883116883, 12385.0, 0, nan, nan, 0
20, 4000, 1, 0, 5, 23218805, 3015.429220779221, 2322.0, 0, nan, nan, 0
20, 4000, 2, 0, 5, 68126428, 8847.588051948052, 5349.0, 0, nan, nan, 0
20, 4000, 4, 0, 5, 86318599, 11210.207662337662, 5317.0, 0, nan, nan, 0
20, 4000, 8, 0, 5, 157459386, 20449.27090909091, 5875.0, 0, nan, nan, 0
20, 4000, 15, 0, 5, 1821773298, 236593.93480519482, 134886.5, 0, nan, nan, 0
20, 4000, 1, 0, 10, 41658546, 2705.10038961039, 2345.0, 0, nan, nan, 0
20, 4000, 2, 0, 10, 103771703, 6738.422272727273, 5262.0, 0, nan, nan, 0
