n, t, workers, frac, accesses, kernel_total, kernel_average, kernel_median, task_cleanup_total, task_cleanup_average, task_cleanup_median, task_spawn_total
500, 16000, 4, 0, 5, 21323844, 8529.5376, 5239.0, 0, nan, nan, 0
500, 16000, 8, 0, 5, 34773285, 13909.314, 5365.5, 0, nan, nan, 0
500, 16000, 15, 0, 5, 75103435, 30041.374, 6423.0, 0, nan, nan, 0
500, 16000, 1, 0, 10, 15946765, 3189.353, 2360.0, 0, nan, nan, 0
500, 16000, 2, 0, 10, 34553117, 6910.6234, 5129.0, 0, nan, nan, 0
500, 16000, 4, 0, 10, 46748233, 9349.6466, 5091.0, 0, nan, nan, 0
500, 16000, 8, 0, 10, 59717790, 11943.558, 5129.5, 0, nan, nan, 0
500, 16000, 15, 0, 10, 126282747, 25256.5494, 5911.0, 0, nan, nan, 0
500, 32000, 1, 0, 1, 4401941, 8803.882, 7452.5, 0, nan, nan, 0
500, 32000, 2, 0, 1, 11895687, 23791.374, 10559.5, 0, nan, nan, 0
500, 32000, 4, 0, 1, 15971123, 31942.246, 9511.0, 0, nan, nan, 0
500, 32000, 8, 0, 1, 12967342, 25934.684, 9857.5, 0, nan, nan, 0
500, 32000, 15, 0, 1, 16106941, 32213.882, 10019.5, 0, nan, nan, 0
500, 32000, 1, 0, 5, 10214713, 4085.8852, 3034.5, 0, nan, nan, 0
500, 32000, 2, 0, 5, 24173458, 9669.3832, 5399.5, 0, nan, nan, 0
500, 32000, 4, 0, 5, 30243203, 12097.2812, 5420.5, 0, nan, nan, 0
500, 32000, 8, 0, 5, 33161628, 13264.6512, 5592.0, 0, nan, nan, 0
500, 32000, 15, 0, 5, 44976081, 17990.4324, 6106.0, 0, nan, nan, 0
500, 32000, 1, 0, 10, 16987558, 3397.5116, 2565.0, 0, nan, nan, 0
500, 32000, 2, 0, 10, 33101759, 6620.3518, 5103.0, 0, nan, nan, 0
500, 32000, 4, 0, 10, 41025897, 8205.1794, 5011.0, 0, nan, nan, 0
500, 32000, 8, 0, 10, 60340422, 12068.0844, 5338.0, 0, nan, nan, 0
500, 32000, 15, 0, 10, 90956218, 18191.2436, 5460.0, 0, nan, nan, 0
500, 64000, 1, 0, 1, 5381991, 10763.982, 8153.5, 0, nan, nan, 0
500, 64000, 2, 0, 1, 19764888, 39529.776, 13196.5, 0, nan, nan, 0
500, 64000, 4, 0, 1, 26061877, 52123.754, 16781.0, 0, nan, nan, 0
500, 64000, 8, 0, 1, 29589706, 59179.412, 14119.0, 0, nan, nan, 0
500, 64000, 15, 0, 1, 23310454, 46620.908, 12761.0, 0, nan, nan, 0
500, 64000, 1, 0, 5, 12183050, 4873.22, 3305.0, 0, nan, nan, 0
500, 64000, 2, 0, 5, 29319088, 11727.6352, 5848.5, 0, nan, nan, 0
500, 64000, 4, 0, 5, 38759472, 15503.7888, 6222.0, 0, nan, nan, 0
500, 64000, 8, 0, 5, 31837554, 12735.0216, 6243.5, 0, nan, nan, 0
500, 64000, 15, 0, 5, 40968892, 16387.5568, 6584.0, 0, nan, nan, 0
500, 64000, 1, 0, 10, 18693790, 3738.758, 2797.0, 0, nan, nan, 0
500, 64000, 2, 0, 10, 39207304, 7841.4608, 5140.0, 0, nan, nan, 0
500, 64000, 4, 0, 10, 57206234, 11441.2468, 5417.5, 0, nan, nan, 0
500, 64000, 8, 0, 10, 63801904, 12760.3808, 5379.0, 0, nan, nan, 0
500, 64000, 15, 0, 10, 67963495, 13592.699, 5701.5, 0, nan, nan, 0
1000, 500, 1, 0, 1, 3697848, 3697.848, 3235.5, 0, nan, nan, 0
1000, 500, 2, 0, 1, 17665122, 17665.122, 8467.0, 0, nan, nan, 0
1000, 500, 4, 0, 1, 20505028, 20505.028, 7492.0, 0, nan, nan, 0
1000, 500, 8, 0, 1, 163293437, 163293.437, 140851.0, 0, nan, nan, 0
1000, 500, 15, 0, 1, 766919266, 766919.266, 672673.5, 0, nan, nan, 0
1000, 500, 1, 0, 5, 12512208, 2502.4416, 2206.5, 0, nan, nan, 0
1000, 500, 2, 0, 5, 36323637, 7264.7274, 4969.0, 0, nan, nan, 0
1000, 500, 4, 0, 5, 198624655, 39724.931, 7996.0, 0, nan, nan, 0
1000, 500, 8, 0, 5, 1433843396, 286768.6792, 230743.5, 0, nan, nan, 0
1000, 500, 15, 0, 5, 3053002394, 610600.4788, 548329.5, 0, nan, nan, 0
1000, 500, 1, 0, 10, 21559592, 2155.9592, 1855.0, 0, nan, nan, 0
1000, 500, 2, 0, 10, 46870134, 4687.0134, 3460.0, 0, nan, nan, 0
1000, 500, 4, 0, 10, 405223058, 40522.3058, 20621.0, 0, nan, nan, 0
1000, 500, 8, 0, 10, 3333069235, 333306.9235, 254925.5, 0, nan, nan, 0
1000, 500, 15, 0, 10, 5639910896, 563991.0896, 516248.0, 0, nan, nan, 0
1000, 1000, 1, 0, 1, 3998452, 3998.452, 3396.5, 0, nan, nan, 0
1000, 1000, 2, 0, 1, 14783505, 14783.505, 7746.5, 0, nan, nan, 0
1000, 1000, 4, 0, 1, 19355456, 19355.456, 7900.0, 0, nan, nan, 0
1000, 1000, 8, 0, 1, 45485020, 45485.02, 10169.0, 0, nan, nan, 0
1000, 1000, 15, 0, 1, 757384047, 757384.047, 632450.5, 0, nan, nan, 0
1000, 1000, 1, 0, 5, 13647405, 2729.481, 2261.0, 0, nan, nan, 0
1000, 1000, 2, 0, 5, 34456803, 6891.3606, 5041.0, 0, nan, nan, 0
1000, 1000, 4, 0, 5, 96013034, 19202.6068, 5945.0, 0, nan, nan, 0
1000, 1000, 8, 0, 5, 634850537, 126970.1074, 104173.0, 0, nan, nan, 0
1000, 1000, 15, 0, 5, 2904311560, 580862.312, 514817.5, 0, nan, nan, 0
1000, 1000, 1, 0, 10, 20492751, 2049.2751, 1762.0, 0, nan, nan, 0
1000, 1000, 2, 0, 10, 54393854, 5439.3854, 3678.0, 0, nan, nan, 0
1000, 1000, 4, 0, 10, 230079997, 23007.9997, 6117.0, 0, nan, nan, 0
1000, 1000, 8, 0, 10, 2310867798, 231086.7798, 188078.5, 0, nan, nan, 0
1000, 1000, 15, 0, 10, 5075750715.0, 507676.60682136426, 473055.0, 0, nan, nan, 0
1000, 2000, 1, 0, 1, 4220724, 4220.724, 3436.0, 0, nan, nan, 0
1000, 2000, 2, 0, 1, 23372982, 23372.982, 8195.0, 0, nan, nan, 0
1000, 2000, 4, 0, 1, 18188639, 18188.639, 8104.5, 0, nan, nan, 0
1000, 2000, 8, 0, 1, 37386611, 37386.611, 8733.0, 0, nan, nan, 0
1000, 2000, 15, 0, 1, 88102703, 88102.703, 14700.0, 0, nan, nan, 0
1000, 2000, 1, 0, 5, 13648289, 2729.6578, 2221.0, 0, nan, nan, 0
1000, 2000, 2, 0, 5, 55559310, 11111.862, 5064.0, 0, nan, nan, 0
1000, 2000, 8, 0, 5, 222461610, 44492.322, 8885.0, 0, nan, nan, 0
1000, 2000, 15, 0, 5, 2967252598, 593450.5196, 506431.0, 0, nan, nan, 0
1000, 2000, 1, 0, 10, 23197699, 2319.7699, 1977.0, 0, nan, nan, 0
1000, 2000, 2, 0, 10, 78627863, 7862.7863, 4927.0, 0, nan, nan, 0
1000, 2000, 4, 0, 10, 123971042, 12397.1042, 5064.0, 0, nan, nan, 0
1000, 2000, 8, 0, 10, 804708791.0, 80486.97649529907, 33320.5, 0, nan, nan, 0
1000, 2000, 15, 0, 10, 6692434342, 669243.4342, 597307.0, 0, nan, nan, 0
1000, 4000, 1, 0, 1, 5610437, 5610.437, 3146.5, 0, nan, nan, 0
1000, 4000, 2, 0, 1, 19657135, 19657.135, 8586.5, 0, nan, nan, 0
1000, 4000, 4, 0, 1, 31353267, 31353.267, 8646.0, 0, nan, nan, 0
1000, 4000, 8, 0, 1, 33124333, 33124.333, 9157.5, 0, nan, nan, 0
1000, 4000, 15, 0, 1, 64153776, 64153.776, 12171.5, 0, nan, nan, 0
1000, 4000, 1, 0, 5, 14786666, 2957.3332, 2196.0, 0, nan, nan, 0
1000, 4000, 2, 0, 5, 45167035, 9033.407, 5489.0, 0, nan, nan, 0
1000, 4000, 4, 0, 5, 51564243, 10312.8486, 5135.0, 0, nan, nan, 0
1000, 4000, 8, 0, 5, 104211497, 20842.2994, 5631.0, 0, nan, nan, 0
1000, 4000, 15, 0, 5, 665133183, 133026.6366, 50748.0, 0, nan, nan, 0
1000, 4000, 1, 0, 10, 25974282, 2597.4282, 2240.0, 0, nan, nan, 0
1000, 4000, 2, 0, 10, 75615727, 7561.5727, 5160.0, 0, nan, nan, 0
1000, 4000, 4, 0, 10, 96386495, 9638.6495, 5204.0, 0, nan, nan, 0
1000, 4000, 8, 0, 10, 249390983, 24939.0983, 5862.0, 0, nan, nan, 0
1000, 4000, 15, 0, 10, 4734767525, 473476.7525, 362663.0, 0, nan, nan, 0
1000, 8000, 1, 0, 1, 7847166, 7847.166, 4497.0, 0, nan, nan, 0
1000, 8000, 2, 0, 1, 27534617, 27534.617, 9916.5, 0, nan, nan, 0
1000, 8000, 4, 0, 1, 24562492, 24562.492, 8432.5, 0, nan, nan, 0
1000, 8000, 8, 0, 1, 34654990, 34654.99, 9322.5, 0, nan, nan, 0
1000, 8000, 15, 0, 1, 42291562, 42291.562, 11046.0, 0, nan, nan, 0
1000, 8000, 1, 0, 5, 17690005, 3538.001, 2509.0, 0, nan, nan, 0
1000, 8000, 2, 0, 5, 47325419, 9465.0838, 5292.0, 0, nan, nan, 0
1000, 8000, 4, 0, 5, 66630813, 13326.1626, 5274.0, 0, nan, nan, 0
1000, 8000, 8, 0, 5, 75948012, 15189.6024, 5711.5, 0, nan, nan, 0
1000, 8000, 15, 0, 5, 160693144, 32138.6288, 6765.5, 0, nan, nan, 0
1000, 8000, 1, 0, 10, 28089842, 2808.9842, 2367.0, 0, nan, nan, 0
1000, 8000, 2, 0, 10, 76352406, 7635.2406, 5318.0, 0, nan, nan, 0
1000, 8000, 4, 0, 10, 90954651, 9095.4651, 5177.0, 0, nan, nan, 0
1000, 8000, 8, 0, 10, 116681672, 11668.1672, 5349.0, 0, nan, nan, 0
1000, 8000, 15, 0, 10, 492350535, 49235.0535, 8957.5, 0, nan, nan, 0
1000, 16000, 1, 0, 1, 7176248, 7176.248, 5059.5, 0, nan, nan, 0
1000, 16000, 2, 0, 1, 19183965, 19183.965, 10300.0, 0, nan, nan, 0
1000, 16000, 4, 0, 1, 25498785, 25498.785, 9524.5, 0, nan, nan, 0
1000, 16000, 8, 0, 1, 32820007, 32820.007, 9485.5, 0, nan, nan, 0
1000, 16000, 15, 0, 1, 23653490, 23653.49, 7965.0, 0, nan, nan, 0
1000, 16000, 1, 0, 5, 17621455, 3524.291, 2642.5, 0, nan, nan, 0
1000, 16000, 2, 0, 5, 48850707, 9770.1414, 5762.0, 0, nan, nan, 0
1000, 16000, 4, 0, 5, 52490583, 10498.1166, 5135.5, 0, nan, nan, 0
1000, 16000, 8, 0, 5, 61558474, 12311.6948, 5451.5, 0, nan, nan, 0
