n, t, workers, frac, accesses, time
500, 4000, 8, 0.0125, 10, 0.2818171363323927
500, 4000, 15, 0.0125, 10, 0.22735375631600618
500, 8000, 1, 0.0125, 1, 4.101889136247337
500, 8000, 2, 0.0125, 1, 2.0836774688214064
500, 8000, 4, 0.0125, 1, 1.057636291719973
500, 8000, 8, 0.0125, 1, 0.5414639851078391
500, 8000, 15, 0.0125, 1, 0.29329849779605865
500, 8000, 1, 0.0125, 5, 4.114887572824955
500, 8000, 2, 0.0125, 5, 2.0602035773918033
500, 8000, 4, 0.0125, 5, 1.0322642913088202
500, 8000, 8, 0.0125, 5, 0.5261213397607207
500, 8000, 15, 0.0125, 5, 0.2940567806363106
500, 8000, 1, 0.0125, 10, 4.129260519519448
500, 8000, 2, 0.0125, 10, 2.0732593666762114
500, 8000, 4, 0.0125, 10, 1.0456494241952896
500, 8000, 8, 0.0125, 10, 0.5326187675818801
500, 8000, 15, 0.0125, 10, 0.30477949511259794
500, 16000, 1, 0.0125, 1, 8.100553604774177
500, 16000, 2, 0.0125, 1, 4.117212383076549
500, 16000, 4, 0.0125, 1, 2.1036412669345737
500, 16000, 8, 0.0125, 1, 1.0586267476901412
500, 16000, 15, 0.0125, 1, 0.5754036912694573
500, 16000, 1, 0.0125, 5, 8.115015491843224
500, 16000, 2, 0.0125, 5, 4.081045852974057
500, 16000, 4, 0.0125, 5, 2.0443077543750405
500, 16000, 8, 0.0125, 5, 1.033522730693221
500, 16000, 15, 0.0125, 5, 0.5634971326217055
500, 16000, 1, 0.0125, 10, 8.127628550864756
500, 16000, 2, 0.0125, 10, 4.074116640724242
500, 16000, 4, 0.0125, 10, 2.050786366686225
500, 16000, 8, 0.0125, 10, 1.0370171861723065
500, 16000, 15, 0.0125, 10, 0.5674205794930458
500, 32000, 1, 0.0125, 1, 16.102079168893397
500, 32000, 2, 0.0125, 1, 8.153923152014613
500, 32000, 4, 0.0125, 1, 4.092363059520721
500, 32000, 8, 0.0125, 1, 2.0493583539500833
500, 32000, 15, 0.0125, 1, 1.1258580833673477
500, 32000, 1, 0.0125, 5, 16.11515277903527
500, 32000, 2, 0.0125, 5, 8.095256556756794
500, 32000, 4, 0.0125, 5, 4.054388489574194
500, 32000, 8, 0.0125, 5, 2.0513330847024918
500, 32000, 15, 0.0125, 5, 1.1082329927012324
500, 32000, 1, 0.0125, 10, 16.129036203958094
500, 32000, 2, 0.0125, 10, 8.080087346024811
500, 32000, 4, 0.0125, 10, 4.05743124615401
500, 32000, 8, 0.0125, 10, 2.0464637391269207
500, 32000, 15, 0.0125, 10, 1.1126071894541383
500, 64000, 1, 0.0125, 1, 32.101906593889
500, 64000, 2, 0.0125, 1, 16.131727194413543
500, 64000, 4, 0.0125, 1, 8.136804363690317
500, 64000, 8, 0.0125, 1, 4.075665711425245
500, 64000, 15, 0.0125, 1, 2.2628474198281765
500, 64000, 1, 0.0125, 5, 32.1235136827454
500, 64000, 2, 0.0125, 5, 16.115481674671173
500, 64000, 4, 0.0125, 5, 8.071576875634491
500, 64000, 8, 0.0125, 5, 4.073792487382889
500, 64000, 15, 0.0125, 5, 2.2031149473041296
500, 64000, 1, 0.0125, 10, 32.13519429694861
500, 64000, 2, 0.0125, 10, 16.11485714931041
500, 64000, 4, 0.0125, 10, 8.059498473070562
500, 64000, 8, 0.0125, 10, 4.072054852731526
500, 64000, 15, 0.0125, 10, 2.1999487169086933
1000, 500, 1, 0.0125, 1, 0.6537313349545002
1000, 500, 2, 0.0125, 1, 0.3248273581266403
1000, 500, 4, 0.0125, 1, 0.16657740529626608
1000, 500, 8, 0.0125, 1, 0.11459851451218128
1000, 500, 15, 0.0125, 1, 0.16055679228156805
1000, 500, 1, 0.0125, 5, 0.6933318562805653
1000, 500, 2, 0.0125, 5, 0.33566285483539104
1000, 500, 4, 0.0125, 5, 0.20528716873377562
1000, 500, 8, 0.0125, 5, 0.1843531196936965
1000, 500, 15, 0.0125, 5, 0.2911884067580104
1000, 500, 1, 0.0125, 10, 0.6802970664575696
1000, 500, 2, 0.0125, 10, 0.3979570856317878
1000, 500, 4, 0.0125, 10, 0.2538960985839367
1000, 500, 8, 0.0125, 10, 0.272631511092186
1000, 500, 15, 0.0125, 10, 0.255745654925704
1000, 1000, 1, 0.0125, 1, 1.1406855192035437
1000, 1000, 2, 0.0125, 1, 0.5673552313819528
1000, 1000, 4, 0.0125, 1, 0.2941423589363694
1000, 1000, 8, 0.0125, 1, 0.1614306578412652
1000, 1000, 15, 0.0125, 1, 0.16346088983118534
1000, 1000, 1, 0.0125, 5, 1.213864260353148
1000, 1000, 2, 0.0125, 5, 0.5950784590095282
1000, 1000, 4, 0.0125, 5, 0.30940259620547295
1000, 1000, 8, 0.0125, 5, 0.20013290829956532
1000, 1000, 15, 0.0125, 5, 0.28530624136328697
1000, 1000, 1, 0.0125, 10, 1.223065823316574
1000, 1000, 2, 0.0125, 10, 0.6111967796459794
1000, 1000, 4, 0.0125, 10, 0.3441075459122658
1000, 1000, 8, 0.0125, 10, 0.2530923681333661
1000, 1000, 15, 0.0125, 10, 0.442953048273921
1000, 2000, 1, 0.0125, 1, 2.192703051492572
1000, 2000, 2, 0.0125, 1, 1.0714583937078714
1000, 2000, 4, 0.0125, 1, 0.565036159940064
1000, 2000, 8, 0.0125, 1, 0.2885287208482623
1000, 2000, 15, 0.0125, 1, 0.1673759799450636
1000, 2000, 1, 0.0125, 5, 2.211247797124088
1000, 2000, 2, 0.0125, 5, 1.0981763871386647
1000, 2000, 4, 0.0125, 5, 0.5561372293159366
1000, 2000, 8, 0.0125, 5, 0.2970545934513211
1000, 2000, 15, 0.0125, 5, 0.3165120054036379
1000, 2000, 1, 0.0125, 10, 2.193723482079804
1000, 2000, 2, 0.0125, 10, 1.1188472416251898
1000, 2000, 4, 0.0125, 10, 0.5731778908520937
1000, 2000, 8, 0.0125, 10, 0.337307414971292
1000, 2000, 15, 0.0125, 10, 0.4250905513763428
1000, 4000, 1, 0.0125, 1, 4.178472751751542
1000, 4000, 2, 0.0125, 1, 2.1415669145062566
1000, 4000, 4, 0.0125, 1, 1.0809293510392308
1000, 4000, 8, 0.0125, 1, 0.5506082251667976
