n, t, workers, frac, accesses, kernel_total, kernel_average, kernel_median, task_cleanup_total, task_cleanup_average, task_cleanup_median, task_spawn_total
100, 16000, 8, 0, 10, 112136343, 14017.042875, 5598.0, 0, nan, nan, 0
100, 16000, 15, 0, 10, 461094017, 30739.601133333334, 5842.0, 0, nan, nan, 0
100, 32000, 1, 0, 1, 1177150, 11771.5, 7558.0, 0, nan, nan, 0
100, 32000, 2, 0, 1, 6630014, 33150.07, 11466.0, 0, nan, nan, 0
100, 32000, 4, 0, 1, 25273328, 63183.32, 24426.5, 0, nan, nan, 0
100, 32000, 8, 0, 1, 72432403, 90540.50375, 54858.5, 0, nan, nan, 0
100, 32000, 15, 0, 1, 424430393, 282953.59533333336, 199248.0, 0, nan, nan, 0
100, 32000, 1, 0, 5, 3002427, 6004.854, 3332.5, 0, nan, nan, 0
100, 32000, 2, 0, 5, 10420111, 10420.111, 5967.5, 0, nan, nan, 0
100, 32000, 4, 0, 5, 38022361, 19011.1805, 6330.0, 0, nan, nan, 0
100, 32000, 8, 0, 5, 107627945, 26906.98625, 6457.5, 0, nan, nan, 0
100, 32000, 15, 0, 5, 466255937, 62167.45826666667, 7467.5, 0, nan, nan, 0
100, 32000, 1, 0, 10, 3497708, 3497.708, 2215.0, 0, nan, nan, 0
100, 32000, 2, 0, 10, 14044236, 7022.118, 5358.0, 0, nan, nan, 0
100, 32000, 4, 0, 10, 52714467, 13178.61675, 5367.5, 0, nan, nan, 0
100, 32000, 8, 0, 10, 151022384, 18877.798, 5592.0, 0, nan, nan, 0
100, 32000, 15, 0, 10, 514546288, 34303.08586666667, 6274.0, 0, nan, nan, 0
100, 64000, 1, 0, 1, 2568845, 25688.45, 7650.5, 0, nan, nan, 0
100, 64000, 2, 0, 1, 8174216, 40871.08, 13255.0, 0, nan, nan, 0
100, 64000, 4, 0, 1, 28635782, 71589.455, 33952.5, 0, nan, nan, 0
100, 64000, 8, 0, 1, 104370294, 130462.8675, 69232.5, 0, nan, nan, 0
100, 64000, 15, 0, 1, 509198213, 339465.4753333333, 228959.5, 0, nan, nan, 0
100, 64000, 1, 0, 5, 3729163, 7458.326, 3615.0, 0, nan, nan, 0
100, 64000, 2, 0, 5, 11039762, 11039.762, 6200.0, 0, nan, nan, 0
100, 64000, 4, 0, 5, 52831696, 26415.848, 7734.0, 0, nan, nan, 0
100, 64000, 8, 0, 5, 146010333, 36502.58325, 8239.0, 0, nan, nan, 0
100, 64000, 15, 0, 5, 500098203, 66679.7604, 8875.5, 0, nan, nan, 0
100, 64000, 1, 0, 10, 4150072, 4150.072, 2724.0, 0, nan, nan, 0
100, 64000, 2, 0, 10, 17949363, 8974.6815, 5737.0, 0, nan, nan, 0
100, 64000, 4, 0, 10, 56050213, 14012.55325, 5884.5, 0, nan, nan, 0
100, 64000, 8, 0, 10, 143337070, 17917.13375, 6261.0, 0, nan, nan, 0
100, 64000, 15, 0, 10, 619837245, 41322.483, 6516.0, 0, nan, nan, 0
500, 500, 1, 0, 1, 2041994, 4083.988, 3333.0, 0, nan, nan, 0
500, 500, 2, 0, 1, 9112566, 9112.566, 7521.5, 0, nan, nan, 0
